metapath_attention,dynamic_attention,predictor,best_auc,best_ap,best_epoch,final_auc,final_ap
False,True,mlp,0.7903,0.7456,48,0.7473,0.7188
False,False,mlp,0.7973,0.7371,43,0.715,0.6956
False,True,dot,0.5909,0.6202,56,0.5418,0.5767
False,False,dot,0.593,0.6229,56,0.5058,0.5226
